probability_0,probability_1,classification,clock_cycles
0.688,0.312,0,1947.0
0.594,0.422,0,122.0
0.625,0.391,0,1219.0
0.781,0.203,0,30.0
0.688,0.312,0,472.0
0.656,0.359,0,616.0
0.688,0.344,0,1608.0
0.719,0.297,0,1773.0
0.656,0.375,0,644.0
0.656,0.328,0,154.0
0.438,0.531,1,65.0
0.406,0.594,1,507.0
0.656,0.375,0,1606.0
0.375,0.625,1,1645.0
0.625,0.391,0,823.0
0.531,0.484,0,354.0
0.375,0.625,1,580.0
0.375,0.625,1,1524.0
0.422,0.562,1,1660.0
0.453,0.562,1,476.0
0.719,0.281,0,518.0
0.688,0.344,0,1734.0
0.422,0.594,1,225.0
0.719,0.297,0,1743.0
0.391,0.625,1,1789.0
0.719,0.297,0,536.0
0.781,0.25,0,1531.0
0.375,0.625,1,1924.0
1.0,336.0,1,1998.0
1.0,9.5,1,476.0
0.422,0.562,1,208.0
0.656,0.375,0,372.0
0.625,0.391,0,1948.0
0.406,0.594,1,1581.0
0.375,0.625,1,241.0
0.75,0.234,0,639.0
0.484,0.531,1,205.0
0.375,0.625,1,595.0
0.375,0.625,1,1592.0
0.688,0.344,0,420.0
0.688,0.312,0,136.0
0.438,0.531,1,79.0
0.422,0.594,1,307.0
0.719,0.281,0,282.0
0.344,0.625,1,501.0
0.422,0.594,1,1318.0
0.359,0.625,1,336.0
0.594,0.375,0,373.0
0.656,0.359,0,210.0
0.531,0.484,0,1709.0
0.625,0.391,0,439.0
0.719,0.297,0,322.0
0.719,0.297,0,1850.0
0.719,0.281,0,1820.0
0.594,0.375,0,16.0
0.453,0.562,1,1485.0
0.781,0.25,0,1561.0
0.75,0.25,0,41.0
0.625,0.391,0,41.0
0.781,0.25,0,161.0
0.359,0.625,1,1700.0
0.688,0.344,0,96.0
0.531,0.469,0,1503.0
0.781,0.203,0,1859.0
0.781,0.25,0,660.0
0.75,0.25,0,111.0
0.688,0.312,0,1489.0
0.688,0.344,0,1823.0
0.594,0.422,0,1989.0
0.531,0.469,0,615.0
0.453,0.562,1,1600.0
0.719,0.281,0,142.0
0.422,0.562,1,1575.0
0.75,0.25,0,1823.0
0.406,0.594,1,1470.0
0.5,0.5,0,1865.0
0.625,0.391,0,1805.0
0.406,0.594,1,1556.0
0.375,0.625,1,1559.0
0.453,0.562,1,283.0
0.484,0.531,1,1544.0
0.562,0.469,0,2036.0
0.5,0.5,0,4.0
0.719,0.281,0,289.0
0.594,0.422,0,289.0
1.0,176.0,1,1995.0
0.688,0.312,0,10.0
0.344,0.656,1,200.0
0.562,0.453,0,1900.0
0.656,0.328,0,1487.0
0.719,0.297,0,1709.0
0.656,0.328,0,133.0
0.453,0.562,1,1649.0
0.422,0.594,1,760.0
0.719,0.297,0,1571.0
0.422,0.562,1,473.0
0.344,0.625,1,1554.0
0.688,0.344,0,612.0
0.719,0.281,0,330.0
0.594,0.391,0,1635.0
0.422,0.594,1,1773.0
0.656,0.359,0,226.0
0.625,0.344,0,135.0
0.625,0.391,0,379.0
0.375,0.625,1,1685.0
0.719,0.297,0,103.0
0.625,0.375,0,541.0
0.5,0.484,0,1717.0
0.453,0.562,1,1523.0
0.484,0.531,1,1548.0
0.406,0.594,1,664.0
0.453,0.562,1,435.0
0.781,0.227,0,1947.0
0.375,0.656,1,1815.0
0.375,0.625,1,1923.0
0.375,0.625,1,1597.0
0.781,0.227,0,276.0
0.359,0.625,1,327.0
0.375,0.625,1,599.0
0.688,0.344,0,217.0
0.484,0.531,1,1693.0
0.656,0.375,0,1936.0
0.453,0.562,1,941.0
0.75,0.234,0,329.0
0.594,0.422,0,1709.0
0.656,0.328,0,1533.0
0.422,0.594,1,14.0
0.438,0.531,1,302.0
0.688,0.344,0,505.0
0.422,0.594,1,1.0
0.406,0.594,1,448.0
0.781,0.227,0,1905.0
0.719,0.297,0,1992.0
0.594,0.375,0,315.0
1.0,9.5,1,315.0
0.594,0.391,0,1501.0
0.453,0.562,1,1590.0
1.0,0.0142,0,1824.0
0.688,0.344,0,1992.0
0.531,0.484,0,1438.0
0.688,0.312,0,259.0
0.625,0.391,0,523.0
0.5,0.5,0,1948.0
0.656,0.328,0,1822.0
0.484,0.531,1,497.0
0.562,0.453,0,659.0
0.531,0.484,0,518.0
0.5,0.5,0,185.0
0.484,0.531,1,1567.0
0.719,0.281,0,1527.0
0.5,0.5,0,1741.0
0.406,0.594,1,247.0
0.406,0.594,1,1851.0
1.0,0.0142,0,444.0
0.422,0.594,1,269.0
0.719,0.297,0,366.0
0.422,0.594,1,1648.0
0.688,0.312,0,1061.0
0.688,0.344,0,252.0
0.625,0.344,0,366.0
0.344,0.656,1,1562.0
0.375,0.625,1,639.0
0.359,0.625,1,404.0
0.375,0.656,1,1149.0
0.422,0.594,1,653.0
0.719,0.297,0,311.0
0.422,0.594,1,261.0
0.719,0.281,0,213.0
0.75,0.25,0,2000.0
0.625,0.391,0,1569.0
0.594,0.375,0,316.0
0.688,0.312,0,307.0
0.656,0.359,0,1645.0
0.359,0.625,1,593.0
0.688,0.312,0,232.0
0.688,0.344,0,302.0
0.375,0.625,1,448.0
0.297,0.688,1,376.0
0.656,0.359,0,1818.0
0.719,0.281,0,1432.0
0.688,0.344,0,507.0
0.781,0.227,0,311.0
0.375,0.625,1,1913.0
0.719,0.281,0,558.0
0.359,0.625,1,355.0
0.688,0.312,0,123.0
0.453,0.562,1,492.0
0.375,0.625,1,609.0
0.781,0.227,0,258.0
0.688,0.312,0,161.0
0.422,0.594,1,268.0
0.719,0.281,0,574.0
0.656,0.375,0,1983.0
0.453,0.562,1,1799.0
0.422,0.594,1,327.0
0.375,0.625,1,28.0
0.422,0.594,1,213.0
0.625,0.391,0,589.0
0.594,0.391,0,589.0
0.375,0.625,1,1019.0
0.375,0.625,1,1360.0
0.375,0.625,1,1661.0
0.656,0.359,0,54.0
0.781,0.227,0,440.0
0.375,0.656,1,442.0
0.453,0.562,1,489.0
0.438,0.531,1,489.0
0.438,0.531,1,68.0
0.625,0.391,0,1926.0
0.625,0.344,0,576.0
0.531,0.484,0,1961.0
1.0,176.0,1,43.0
0.625,0.344,0,1889.0
0.594,0.391,0,1462.0
0.719,0.281,0,1566.0
0.781,0.227,0,1833.0
0.5,0.5,0,361.0
0.656,0.359,0,1784.0
0.406,0.594,1,239.0
0.375,0.625,1,2027.0
0.375,0.625,1,1473.0
0.484,0.531,1,378.0
0.391,0.625,1,359.0
0.656,0.359,0,167.0
0.422,0.594,1,294.0
0.688,0.344,0,1624.0
0.781,0.25,0,1500.0
0.422,0.594,1,407.0
0.453,0.562,1,638.0
0.5,0.484,0,1503.0
0.391,0.625,1,1708.0
0.656,0.328,0,573.0
0.453,0.562,1,666.0
0.781,0.227,0,198.0
0.422,0.562,1,319.0
0.391,0.625,1,526.0
0.422,0.594,1,1537.0
0.375,0.625,1,1495.0
0.688,0.344,0,1837.0
0.625,0.375,0,237.0
0.625,0.391,0,627.0
0.375,0.625,1,1887.0
0.594,0.375,0,679.0
0.375,0.625,1,1966.0
0.406,0.594,1,406.0
0.375,0.625,1,1749.0
0.719,0.281,0,92.0
0.719,0.297,0,1726.0
0.719,0.281,0,1973.0
0.625,0.375,0,1541.0
0.781,0.227,0,1497.0
0.656,0.375,0,1794.0
0.359,0.625,1,1889.0
0.656,0.375,0,1476.0
0.562,0.453,0,218.0
0.594,0.375,0,377.0
0.719,0.297,0,377.0
0.688,0.312,0,480.0
0.5,0.531,1,1601.0
0.375,0.656,1,505.0
0.688,0.344,0,454.0
0.688,0.344,0,1745.0
0.688,0.344,0,395.0
0.422,0.594,1,346.0
0.453,0.562,1,1772.0
0.688,0.312,0,1736.0
0.406,0.594,1,1653.0
0.656,0.359,0,1659.0
0.391,0.625,1,1646.0
0.375,0.625,1,161.0
0.375,0.625,1,1605.0
0.453,0.562,1,1516.0
0.594,0.391,0,582.0
0.594,0.422,0,1899.0
0.781,0.203,0,1865.0
