probability_0,probability_1,classification,clock_cycles
0.688,0.312,0,1484.0
0.594,0.422,0,1515.0
0.625,0.391,0,500.0
0.781,0.203,0,98.0
0.688,0.312,0,1356.0
0.656,0.359,0,30.0
0.688,0.344,0,1238.0
0.719,0.297,0,1595.0
0.656,0.375,0,1217.0
0.656,0.328,0,1567.0
0.438,0.531,1,1247.0
0.406,0.594,1,1324.0
0.656,0.375,0,1272.0
0.375,0.625,1,77.0
0.625,0.391,0,2021.0
0.531,0.484,0,1677.0
0.375,0.625,1,1508.0
0.375,0.625,1,1351.0
0.422,0.562,1,203.0
0.453,0.562,1,1653.0
0.719,0.281,0,1372.0
0.688,0.344,0,1835.0
0.422,0.594,1,1840.0
0.719,0.297,0,2020.0
0.391,0.625,1,1622.0
0.719,0.297,0,1305.0
0.781,0.25,0,1287.0
0.375,0.625,1,1925.0
0.531,0.453,0,1291.0
0.781,0.203,0,1648.0
0.422,0.562,1,210.0
0.656,0.375,0,1965.0
0.625,0.391,0,420.0
0.406,0.594,1,1321.0
0.375,0.625,1,172.0
0.75,0.234,0,1540.0
0.484,0.531,1,159.0
0.375,0.625,1,1967.0
0.375,0.625,1,866.0
0.688,0.344,0,1607.0
0.688,0.312,0,1590.0
0.438,0.531,1,56.0
0.422,0.594,1,1551.0
0.719,0.281,0,34.0
0.344,0.625,1,1788.0
0.422,0.594,1,1484.0
0.359,0.625,1,2045.0
0.594,0.375,0,1566.0
0.656,0.359,0,1894.0
0.531,0.484,0,1459.0
0.625,0.391,0,1649.0
0.719,0.297,0,1834.0
0.719,0.297,0,20.0
0.719,0.281,0,1221.0
0.594,0.375,0,1799.0
0.453,0.562,1,1588.0
0.781,0.25,0,1829.0
0.75,0.25,0,1439.0
0.625,0.391,0,1439.0
0.781,0.25,0,1915.0
0.359,0.625,1,1574.0
0.688,0.344,0,1711.0
0.531,0.469,0,1653.0
0.781,0.203,0,187.0
0.781,0.25,0,1774.0
0.75,0.25,0,1227.0
0.688,0.312,0,97.0
0.688,0.344,0,83.0
0.594,0.422,0,1334.0
0.531,0.469,0,143.0
0.453,0.562,1,1870.0
0.719,0.281,0,1864.0
0.422,0.562,1,1501.0
0.75,0.25,0,1386.0
0.406,0.594,1,134.0
0.5,0.5,0,1290.0
0.625,0.391,0,200.0
0.406,0.594,1,45.0
0.375,0.625,1,56.0
0.453,0.562,1,27.0
0.484,0.531,1,1837.0
