probability_0,probability_1,classification
0.689577,0.31042305,0
0.57489914,0.42510083,0
0.60581505,0.39418495,0
0.7809191,0.21908088,0
0.69210494,0.30789506,0
0.6328458,0.36715418,0
0.66576415,0.33423588,0
0.69290423,0.3070957,0
0.6377442,0.36225578,0
0.6755548,0.3244452,0
0.46959063,0.5304094,1
0.40695387,0.59304607,1
0.6462555,0.35374454,0
0.4131002,0.5868998,1
0.60850227,0.39149767,0
0.5251557,0.47484434,0
0.40093172,0.5990683,1
0.39857608,0.6014239,1
0.444979,0.555021,1
0.447895,0.552105,1
0.72014093,0.27985907,0
0.6591487,0.3408513,0
0.41977483,0.5802252,1
0.7211838,0.27881622,0
0.35219982,0.6478002,1
0.69180804,0.30819196,0
0.74133253,0.25866753,0
0.3992857,0.6007143,1
0.82133293,0.17866702,0
0.7713733,0.22862677,0
0.44014192,0.5598581,1
0.64978594,0.35021403,0
0.61081487,0.3891852,0
0.4087381,0.59126186,1
0.3907413,0.60925865,1
0.73961943,0.26038054,0
0.47733453,0.52266544,1
0.40263113,0.5973689,1
0.40026814,0.59973186,1
0.6644448,0.33555523,0
0.68475175,0.31524822,0
0.45357433,0.54642564,1
0.42587584,0.57412416,1
0.7130672,0.28693286,0
0.33732748,0.6626725,1
0.41409335,0.5859067,1
0.35897264,0.64102733,1
0.61556,0.38444003,0
0.6370047,0.36299536,0
0.51648325,0.48351675,0
0.60858923,0.3914107,0
0.6971166,0.3028834,0
0.7080579,0.2919421,0
0.7169358,0.2830642,0
0.62885714,0.37114283,0
0.43875468,0.5612453,1
0.7497862,0.2502139,0
0.7406901,0.25930992,0
0.62301844,0.3769815,0
0.7466875,0.25331253,0
0.36536127,0.6346387,1
0.6653471,0.3346529,0
0.5380373,0.46196267,0
0.77164817,0.22835179,0
0.76246613,0.23753384,0
0.73132074,0.26867923,0
0.6823993,0.31760073,0
0.6648165,0.33518347,0
0.57809126,0.4219087,0
0.54071724,0.45928273,0
0.44726303,0.55273694,1
0.71880025,0.28119972,0
0.431702,0.56829804,1
0.73732257,0.26267746,0
0.40436903,0.59563094,1
0.4965874,0.50341254,1
0.61553556,0.38446444,0
0.40501553,0.5949845,1
0.39983296,0.60016704,1
0.4564376,0.5435624,1
0.48009762,0.5199024,1
0.54584444,0.45415556,0
0.50183684,0.49816316,0
0.72232884,0.27767113,0
0.5716522,0.42834786,0
0.802168,0.19783194,0
0.6879553,0.31204468,0
0.34126824,0.65873176,1
0.5615793,0.43842068,0
0.6710021,0.3289979,0
0.7083302,0.2916698,0
0.6771391,0.32286087,0
0.44810063,0.5518994,1
0.41742745,0.5825725,1
0.70251626,0.29748368,0
0.42907485,0.5709251,1
0.35251307,0.647487,1
0.65947455,0.34052542,0
0.72003365,0.27996638,0
0.6006744,0.39932558,0
0.43224248,0.5677575,1
0.6338655,0.3661345,0
0.6545591,0.34544092,0
0.6179975,0.38200244,0
0.40572214,0.5942778,1
0.69294983,0.30705017,0
0.6327892,0.3672108,0
0.5076646,0.49233535,0
0.42357588,0.5764241,1
0.47036424,0.5296358,1
0.41136914,0.5886308,1
0.44707277,0.5529272,1
0.7621525,0.23784746,0
0.38018423,0.6198158,1
0.39580664,0.60419333,1
0.37692904,0.623071,1
0.7567223,0.24327773,0
0.34888056,0.6511194,1
0.39609724,0.6039027,1
0.66214484,0.33785516,0
0.46552315,0.5344769,1
0.6448561,0.35514387,0
0.45080975,0.5491902,1
0.7385508,0.26144922,0
0.5731092,0.42689082,0
0.67060286,0.32939717,0
0.4181846,0.5818154,1
0.465612,0.53438807,1
0.6537072,0.34629282,0
0.4168183,0.5831817,1
0.42879993,0.57120013,1
0.7654218,0.23457816,0
0.7007641,0.29923594,0
0.62004673,0.37995324,0
0.7825903,0.21740969,0
0.5992937,0.4007063,0
0.43552226,0.56447774,1
0.8016255,0.19837452,0
0.66499186,0.33500817,0
0.5246468,0.47535318,0
0.6906599,0.30934012,0
0.6039764,0.39602357,0
0.5131889,0.4868111,0
0.6762903,0.32370976,0
0.46950608,0.5304939,1
0.5562745,0.4437256,0
0.5329769,0.46702304,0
0.4938511,0.5061489,1
0.4764319,0.52356815,1
0.7055332,0.2944668,0
0.49309808,0.50690186,1
0.40737566,0.5926243,1
0.40679368,0.5932063,1
0.803782,0.19621801,0
0.43247536,0.5675246,1
0.69714737,0.30285263,0
0.42536402,0.57463604,1
0.6899838,0.3100162,0
0.662974,0.337026,0
0.6466029,0.353397,0
0.32840112,0.6715989,1
0.41015565,0.5898443,1
0.34921288,0.6507871,1
0.37612504,0.623875,1
0.41936174,0.5806383,1
0.7023447,0.29765522,0
0.41133824,0.5886618,1
0.71904105,0.28095895,0
0.7378363,0.26216373,0
0.62481016,0.37518987,0
0.62169075,0.37830925,0
0.6772871,0.32271284,0
0.64186746,0.3581325,0
0.35187575,0.6481243,1
0.672622,0.32737797,0
0.66024166,0.3397583,0
0.3906798,0.6093202,1
0.32100943,0.67899054,1
0.6394804,0.3605196,0
0.7336453,0.26635462,0
0.66349375,0.33650628,0
0.7640925,0.23590748,0
0.38566488,0.6143352,1
0.7067366,0.2932634,0
0.37190634,0.6280936,1
0.6913931,0.3086069,0
0.4354881,0.56451195,1
0.40459326,0.5954067,1
0.7693924,0.23060763,0
0.67953163,0.3204684,0
0.43025747,0.5697425,1
0.717924,0.28207603,0
0.6549772,0.3450228,0
0.45960015,0.5403998,1
0.4281587,0.57184136,1
0.3959068,0.6040932,1
0.42638278,0.5736172,1
0.6243861,0.37561396,0
0.6003988,0.39960128,0
0.3833732,0.6166268,1
0.37495646,0.6250436,1
0.38101116,0.61898893,1
0.6295199,0.37048015,0
0.7698571,0.23014283,0
0.36714682,0.63285327,1
0.46687326,0.5331268,1
0.49077165,0.50922835,1
0.4616275,0.5383725,1
0.612454,0.387546,0
0.64416766,0.35583234,0
0.51229584,0.4877042,0
0.7818945,0.21810551,0
0.64863825,0.35136172,0
0.59828097,0.40171906,0
0.72183424,0.27816576,0
0.755732,0.24426802,0
0.4965874,0.50341254,1
0.6426865,0.3573135,0
0.42352214,0.5764778,1
0.40658262,0.5934174,1
0.39342996,0.60657,1
0.48447272,0.5155273,1
0.36505473,0.6349452,1
0.63017225,0.36982778,0
0.42232773,0.57767224,1
0.65774596,0.34225404,0
0.75309855,0.24690144,0
0.43370765,0.5662924,1
0.43882063,0.56117934,1
0.50809604,0.49190393,0
0.36876965,0.6312303,1
0.6694306,0.3305694,0
0.44677928,0.5532207,1
0.7687706,0.23122938,0
0.4464233,0.5535767,1
0.36644328,0.6335567,1
0.41913986,0.58086014,1
0.38056412,0.6194359,1
0.66674477,0.3332552,0
0.6198747,0.38012525,0
0.61433697,0.385663,0
0.40297902,0.597021,1
0.6230462,0.37695378,0
0.3741634,0.6258366,1
0.40931284,0.59068716,1
0.39410394,0.60589606,1
0.7280538,0.2719462,0
0.699849,0.300151,0
0.71279794,0.28720203,0
0.6313562,0.36864382,0
0.7589688,0.24103124,0
0.6479448,0.35205516,0
0.3601988,0.63980114,1
0.6425791,0.35742098,0
0.5682741,0.43172595,0
0.61973804,0.38026193,0
0.6914931,0.3085069,0
0.6783158,0.32168424,0
0.4921839,0.5078161,1
0.37793863,0.6220614,1
0.66365564,0.33634433,0
0.6749563,0.32504368,0
0.66059536,0.3394046,0
0.4266389,0.57336116,1
0.4380828,0.56191725,1
0.6834962,0.31650382,0
0.4042624,0.59573764,1
0.63697994,0.3630201,0
0.36208335,0.6379167,1
0.403224,0.59677607,1
0.40639094,0.5936091,1
0.4439535,0.5560465,1
0.593614,0.40638596,0
0.5749001,0.42509994,0
0.77141094,0.22858903,0
