probability_0,probability_1,classification
0.689577,0.31042293,0
0.57489926,0.4251007,0
0.6058152,0.39418483,0
0.78091896,0.21908095,0
0.6921049,0.30789506,0
0.63284594,0.3671541,0
0.66576415,0.33423588,0
0.6929043,0.3070957,0
0.63774425,0.3622557,0
0.67555475,0.32444525,0
0.46959087,0.53040916,1
0.40695414,0.59304583,1
0.6462555,0.35374448,0
0.41310054,0.58689946,1
0.6085023,0.3914977,0
0.5251559,0.47484407,0
0.40093198,0.59906805,1
0.39857632,0.6014237,1
0.44497922,0.55502075,1
0.44789526,0.5521047,1
0.72014093,0.27985907,0
0.65914875,0.34085122,0
0.41977498,0.58022493,1
0.72118384,0.2788162,0
0.35220006,0.6477999,1
0.6918081,0.30819196,0
0.7413325,0.2586675,0
0.39928606,0.600714,1
0.82133293,0.17866705,0
0.77137315,0.2286268,0
0.44014215,0.55985785,1
0.64978606,0.35021397,0
0.610815,0.38918507,0
0.40873834,0.59126174,1
0.39074162,0.6092585,1
0.7396194,0.26038054,0
0.47733483,0.5226652,1
0.40263143,0.5973686,1
0.40026838,0.59973156,1
0.66444486,0.3355551,0
0.6847518,0.31524813,0
0.4535746,0.5464254,1
0.42587617,0.5741239,1
0.7130672,0.2869328,0
0.33732778,0.6626722,1
0.41409364,0.58590627,1
0.358973,0.641027,1
0.6155601,0.38443986,0
0.6370048,0.36299515,0
0.5164835,0.48351648,0
0.6085894,0.3914106,0
0.6971166,0.30288336,0
0.70805794,0.29194206,0
0.7169359,0.28306422,0
0.6288572,0.37114283,0
0.43875492,0.5612451,1
0.7497861,0.25021386,0
0.74069,0.25930995,0
0.6230186,0.37698135,0
0.7466875,0.25331256,0
0.36536157,0.6346384,1
0.6653471,0.33465278,0
0.5380376,0.46196243,0
0.77164805,0.2283518,0
0.76246613,0.23753393,0
0.7313208,0.26867923,0
0.6823992,0.31760067,0
0.6648165,0.33518347,0
0.5780914,0.42190862,0
0.54071754,0.4592825,0
0.44726333,0.5527367,1
0.7188002,0.28119972,0
0.43170223,0.5682976,1
0.73732245,0.26267746,0
0.40436926,0.5956306,1
0.4965877,0.5034123,1
0.61553574,0.38446426,0
0.40501574,0.59498423,1
0.39983317,0.60016674,1
0.45643777,0.5435622,1
0.48009783,0.51990217,1
0.5458446,0.45415536,0
0.50183713,0.4981629,0
0.7223289,0.27767116,0
0.5716524,0.42834765,0
0.80216795,0.1978319,0
0.6879553,0.3120446,0
0.34126854,0.6587314,1
0.5615796,0.43842041,0
0.6710021,0.32899794,0
0.70833033,0.2916698,0
0.6771392,0.32286087,0
0.4481009,0.5518992,1
0.41742772,0.5825722,1
0.7025163,0.29748368,0
0.4290752,0.5709249,1
0.3525134,0.6474867,1
0.6594747,0.3405253,0
0.7200337,0.27996638,0
0.6006745,0.39932546,0
0.4322428,0.5677573,1
0.63386565,0.3661344,0
0.6545591,0.3454409,0
0.6179976,0.38200235,0
0.40572238,0.5942775,1
0.6929498,0.30705014,0
0.63278925,0.36721072,0
0.50766486,0.49233508,0
0.4235762,0.57642376,1
0.4703645,0.52963555,1
0.41136944,0.5886306,1
0.44707298,0.55292696,1
0.76215255,0.2378475,0
0.38018444,0.6198155,1
0.395807,0.604193,1
0.3769293,0.6230707,1
0.75672215,0.24327774,0
0.34888095,0.6511191,1
0.39609772,0.6039023,1
